DATE,AVG,DEV
2008-01-01,42,2
2008-01-02,26,2
2008-01-03,30,8
2008-01-04,39,6
2008-01-05,46,7
2008-01-06,57,8
2008-01-07,62,8
2008-01-08,61,4
2008-01-09,60,2
2008-01-10,65,2
2008-01-11,51,3
2008-01-12,52,7
2008-01-13,49,6
2008-01-14,41,6
2008-01-15,42,5
2008-01-16,35,2
2008-01-17,36,1
2008-01-18,47,4
2008-01-19,32,1
2008-01-20,24,4
2008-01-21,34,6
2008-01-22,36,1
2008-01-23,44,3
2008-01-24,39,1
2008-01-25,35,6
2008-01-26,39,4
2008-01-27,45,7
2008-01-28,51,7
2008-01-29,55,8
2008-01-30,39,5
2008-01-31,42,4
2008-02-01,44,2
2008-02-02,47,9
2008-02-03,56,7
2008-02-04,58,6
2008-02-05,62,3
2008-02-06,64,1
2008-02-07,47,6
2008-02-08,51,7
2008-02-09,57,7
2008-02-10,56,7
2008-02-11,51,12
2008-02-12,60,6
2008-02-13,34,4
2008-02-14,43,11
2008-02-15,54,8
2008-02-16,62,5
2008-02-17,61,5
2008-02-18,48,3
2008-02-19,50,6
2008-02-20,56,8
2008-02-21,45,1
2008-02-22,44,2
2008-02-23,47,1
2008-02-24,49,7
2008-02-25,55,7
2008-02-26,53,4
2008-02-27,32,2
2008-02-28,39,7
2008-02-29,51,7
2008-03-01,57,6
2008-03-02,63,7
2008-03-03,64,7
2008-03-04,64,2
2008-03-05,46,8
2008-03-06,58,10
2008-03-07,61,4
2008-03-08,34,2
2008-03-09,44,8
2008-03-10,56,7
2008-03-11,51,3
2008-03-12,56,10
2008-03-13,64,8
2008-03-14,56,3
2008-03-15,64,5
2008-03-16,57,7
2008-03-17,57,7
2008-03-18,60,7
2008-03-19,64,1
2008-03-20,51,7
2008-03-21,58,8
2008-03-22,64,8
2008-03-23,50,8
2008-03-24,42,4
2008-03-25,47,8
2008-03-26,58,10
2008-03-27,63,9
2008-03-28,63,5
2008-03-29,62,5
2008-03-30,44,1
2008-03-31,49,4
2008-04-01,65,6
2008-04-02,67,7
2008-04-03,53,3
2008-04-04,60,7
2008-04-05,59,1
2008-04-06,58,4
2008-04-07,58,3
2008-04-08,61,5
2008-04-09,65,8
2008-04-10,69,6
2008-04-11,74,6
2008-04-12,61,1
2008-04-13,52,5
2008-04-14,44,3
2008-04-15,53,8
2008-04-16,60,8
2008-04-17,66,8
2008-04-18,67,7
2008-04-19,64,4
2008-04-20,65,6
2008-04-21,67,7
2008-04-22,69,7
2008-04-23,71,6
2008-04-24,71,6
2008-04-25,73,5
2008-04-26,70,4
2008-04-27,65,1
2008-04-28,62,1
2008-04-29,54,7
2008-04-30,63,10
2008-05-01,70,8
2008-05-02,71,7
2008-05-03,65,2
2008-05-04,69,6
2008-05-05,69,8
2008-05-06,72,8
2008-05-07,74,7
2008-05-08,75,6
2008-05-09,70,5
2008-05-10,75,4
2008-05-11,70,3
2008-05-12,63,6
2008-05-13,67,6
2008-05-14,66,4
2008-05-15,65,1
2008-05-16,69,3
2008-05-17,64,7
2008-05-18,70,5
2008-05-19,73,7
2008-05-20,76,5
2008-05-21,69,6
2008-05-22,74,6
2008-05-23,75,4
2008-05-24,78,7
2008-05-25,74,6
2008-05-26,74,6
2008-05-27,77,6
2008-05-28,76,3
2008-05-29,67,6
2008-05-30,72,5
2008-05-31,81,5
2008-06-01,78,4
2008-06-02,81,5
2008-06-03,82,5
2008-06-04,83,5
2008-06-05,84,6
2008-06-06,85,6
2008-06-07,86,6
2008-06-08,88,6
2008-06-09,89,6
2008-06-10,82,6
2008-06-11,83,5
2008-06-12,81,5
2008-06-13,79,6
2008-06-14,80,4
2008-06-15,83,5
2008-06-16,83,7
2008-06-17,83,6
2008-06-18,78,7
2008-06-19,78,7
2008-06-20,80,6
2008-06-21,75,6
2008-06-22,80,5
2008-06-23,81,6
2008-06-24,82,8
2008-06-25,87,6
2008-06-26,84,5
2008-06-27,84,6
2008-06-28,80,5
2008-06-29,73,15
2008-06-30,77,5
2008-07-01,77,6
2008-07-02,80,6
2008-07-03,83,6
2008-07-04,82,5
2008-07-05,77,3
2008-07-06,74,4
2008-07-07,80,6
2008-07-08,84,5
2008-07-09,82,5
2008-07-10,76,4
2008-07-11,79,5
2008-07-12,79,8
2008-07-13,74,3
2008-07-14,81,5
2008-07-15,82,5
2008-07-16,82,5
2008-07-17,82,4
2008-07-18,83,5
2008-07-19,84,5
2008-07-20,86,6
2008-07-21,87,6
2008-07-22,80,7
2008-07-23,79,4
2008-07-24,82,5
2008-07-25,81,3
2008-07-26,79,4
2008-07-27,80,6
2008-07-28,86,5
2008-07-29,82,6
2008-07-30,81,5
2008-07-31,80,4
2008-08-01,80,5
2008-08-02,72,28
2008-08-03,83,4
2008-08-04,84,5
2008-08-05,86,5
2008-08-06,88,5
2008-08-07,82,4
2008-08-08,80,4
2008-08-09,79,6
2008-08-10,78,5
2008-08-11,82,5
2008-08-12,74,3
2008-08-13,74,4
2008-08-14,75,4
2008-08-15,80,6
2008-08-16,79,3
2008-08-17,79,4
2008-08-18,79,5
2008-08-19,83,5
2008-08-20,83,5
2008-08-21,78,3
2008-08-22,76,2
2008-08-23,75,1
2008-08-24,77,3
2008-08-25,74,2
2008-08-26,75,2
2008-08-27,74,2
2008-08-28,79,5
2008-08-29,81,6
2008-08-30,83,4
2008-08-31,82,4
2008-09-01,77,1
2008-09-02,79,4
2008-09-03,77,4
2008-09-04,79,6
2008-09-05,80,6
2008-09-06,79,4
2008-09-07,81,6
2008-09-08,80,5
2008-09-09,78,4
2008-09-10,78,5
2008-09-11,77,2
2008-09-12,78,5
2008-09-13,80,4
2008-09-14,79,5
2008-09-15,76,1
2008-09-16,71,5
2008-09-17,65,1
2008-09-18,75,5
2008-09-19,74,5
2008-09-20,71,6
2008-09-21,69,4
2008-09-22,75,7
2008-09-23,74,5
2008-09-24,70,6
2008-09-25,73,8
2008-09-26,72,7
2008-09-27,70,5
2008-09-28,77,7
2008-09-29,78,6
2008-09-30,78,8
2008-10-01,68,5
2008-10-02,65,8
2008-10-03,71,6
2008-10-04,74,7
2008-10-05,75,8
2008-10-06,73,7
2008-10-07,73,7
2008-10-08,64,1
2008-10-09,68,3
2008-10-10,70,3
2008-10-11,72,4
2008-10-12,70,4
2008-10-13,69,3
2008-10-14,71,6
2008-10-15,73,7
2008-10-16,75,7
2008-10-17,65,1
2008-10-18,60,4
2008-10-19,58,4
2008-10-20,58,7
2008-10-21,62,9
2008-10-22,60,5
2008-10-23,55,3
2008-10-24,51,2
2008-10-25,58,6
2008-10-26,61,9
2008-10-27,52,1
2008-10-28,44,4
2008-10-29,49,8
2008-10-30,56,7
2008-10-31,59,8
2008-11-01,62,10
2008-11-02,63,8
2008-11-03,64,6
2008-11-04,67,5
2008-11-05,66,6
2008-11-06,68,6
2008-11-07,67,5
2008-11-08,59,6
2008-11-09,52,5
2008-11-10,53,8
2008-11-11,55,5
2008-11-12,53,2
2008-11-13,55,3
2008-11-14,60,2
2008-11-15,53,2
2008-11-16,43,4
2008-11-17,52,8
2008-11-18,39,3
2008-11-19,42,8
2008-11-20,54,7
2008-11-21,38,2
2008-11-22,39,6
2008-11-23,49,7
2008-11-24,51,3
2008-11-25,49,5
2008-11-26,48,8
2008-11-27,56,8
2008-11-28,59,4
2008-11-29,54,0
2008-11-30,45,2
2008-12-01,38,2
2008-12-02,40,4
2008-12-03,45,7
2008-12-04,45,2
2008-12-05,40,6
2008-12-06,41,5
2008-12-07,40,4
2008-12-08,45,7
2008-12-09,53,8
2008-12-10,60,1
2008-12-11,60,2
2008-12-12,43,4
2008-12-13,41,6
2008-12-14,42,2
2008-12-15,57,5
2008-12-16,60,4
2008-12-17,66,2
2008-12-18,66,2
2008-12-19,63,2
2008-12-20,67,1
2008-12-21,45,1
2008-12-22,27,5
2008-12-23,40,5
2008-12-24,52,6
2008-12-25,53,2
2008-12-26,53,0
2008-12-27,56,3
2008-12-28,59,3
2008-12-29,53,4
2008-12-30,56,9
2008-12-31,47,0
2009-01-01,41,6
2009-01-02,44,1
2009-01-03,52,3
2009-01-04,58,3
2009-01-05,63,2
2009-01-06,66,2
2009-01-07,51,2
2009-01-08,52,4
2009-01-09,49,9
2009-01-10,57,5
2009-01-11,39,1
2009-01-12,43,7
2009-01-13,47,6
2009-01-14,39,9
2009-01-15,34,2
2009-01-16,24,6
2009-01-17,33,6
2009-01-18,46,3
2009-01-19,43,4
2009-01-20,28,3
2009-01-21,32,7
2009-01-22,44,8
2009-01-23,55,6
2009-01-24,53,1
2009-01-25,45,6
2009-01-26,47,3
2009-01-27,51,6
2009-01-28,53,4
2009-01-29,41,6
2009-01-30,40,4
2009-01-31,46,6
2009-02-01,52,8
2009-02-02,47,5
2009-02-03,41,7
2009-02-04,26,5
2009-02-05,33,8
2009-02-06,51,10
2009-02-07,58,8
2009-02-08,62,7
2009-02-09,63,5
2009-02-10,62,6
2009-02-11,63,4
2009-02-12,59,5
2009-02-13,60,7
2009-02-14,53,2
2009-02-15,53,6
2009-02-16,46,5
2009-02-17,45,6
2009-02-18,56,7
2009-02-19,47,1
2009-02-20,38,6
2009-02-21,49,7
2009-02-22,41,5
2009-02-23,41,6
2009-02-24,44,7
2009-02-25,49,5
2009-02-26,60,5
2009-02-27,54,0
2009-02-28,58,4
2009-03-01,36,3
2009-03-02,35,5
2009-03-03,36,6
2009-03-04,45,6
2009-03-05,55,8
2009-03-06,61,6
2009-03-07,62,6
2009-03-08,62,7
2009-03-09,71,6
2009-03-10,72,5
2009-03-11,70,5
2009-03-12,62,9
2009-03-13,53,2
2009-03-14,42,1
2009-03-15,48,3
2009-03-16,55,2
2009-03-17,60,7
2009-03-18,54,5
2009-03-19,64,8
2009-03-20,58,5
2009-03-21,54,7
2009-03-22,58,9
2009-03-23,62,8
2009-03-24,59,6
2009-03-25,60,2
2009-03-26,60,3
2009-03-27,60,2
2009-03-28,59,0
2009-03-29,47,2
2009-03-30,55,9
2009-03-31,57,3
2009-04-01,61,3
2009-04-02,60,1
2009-04-03,57,1
2009-04-04,63,10
2009-04-05,59,2
2009-04-06,45,1
2009-04-07,40,3
2009-04-08,55,11
2009-04-09,66,8
2009-04-10,65,5
2009-04-11,56,3
2009-04-12,62,7
2009-04-13,57,4
2009-04-14,60,2
2009-04-15,55,4
2009-04-16,61,6
2009-04-17,62,6
2009-04-18,63,7
2009-04-19,63,3
2009-04-20,62,3
2009-04-21,63,5
2009-04-22,62,7
2009-04-23,73,6
2009-04-24,77,8
2009-04-25,77,7
2009-04-26,73,6
2009-04-27,69,5
2009-04-28,72,5
2009-04-29,73,6
2009-04-30,72,6
2009-05-01,71,3
2009-05-02,70,4
2009-05-03,71,4
2009-05-04,66,4
2009-05-05,72,5
2009-05-06,69,4
2009-05-07,74,4
2009-05-08,74,4
2009-05-09,73,4
2009-05-10,70,4
2009-05-11,69,4
2009-05-12,65,4
2009-05-13,64,3
2009-05-14,72,5
2009-05-15,78,4
2009-05-16,68,2
2009-05-17,62,3
2009-05-18,59,5
2009-05-19,63,6
2009-05-20,68,5
2009-05-21,67,2
2009-05-22,68,3
2009-05-23,70,3
2009-05-24,72,3
2009-05-25,71,3
2009-05-26,72,3
2009-05-27,74,5
2009-05-28,75,5
2009-05-29,73,4
2009-05-30,74,7
2009-05-31,81,6
2009-06-01,82,5
2009-06-02,83,6
2009-06-03,79,5
2009-06-04,71,1
2009-06-05,72,3
2009-06-06,73,5
2009-06-07,77,5
2009-06-08,79,5
2009-06-09,81,5
2009-06-10,81,4
2009-06-11,81,4
2009-06-12,82,4
2009-06-13,76,4
2009-06-14,76,5
2009-06-15,78,6
2009-06-16,83,6
2009-06-17,83,6
2009-06-18,86,5
2009-06-19,85,6
2009-06-20,86,6
2009-06-21,87,5
2009-06-22,87,5
2009-06-23,86,5
2009-06-24,85,5
2009-06-25,85,6
2009-06-26,87,7
2009-06-27,87,5
2009-06-28,86,5
2009-06-29,84,5
2009-06-30,83,8
2009-07-01,87,6
2009-07-02,83,6
2009-07-03,80,6
2009-07-04,82,7
2009-07-05,76,1
2009-07-06,76,4
2009-07-07,78,3
2009-07-08,77,2
2009-07-09,76,4
2009-07-10,77,4
2009-07-11,80,5
2009-07-12,80,6
2009-07-13,78,4
2009-07-14,82,5
2009-07-15,82,5
2009-07-16,83,4
2009-07-17,80,5
2009-07-18,74,5
2009-07-19,75,4
2009-07-20,74,6
2009-07-21,78,6
2009-07-22,77,5
2009-07-23,79,3
2009-07-24,80,6
2009-07-25,83,6
2009-07-26,84,5
2009-07-27,82,5
2009-07-28,80,6
2009-07-29,75,4
2009-07-30,74,2
2009-07-31,77,2
2009-08-01,80,5
2009-08-02,76,3
2009-08-03,81,5
2009-08-04,85,5
2009-08-05,85,5
2009-08-06,82,5
2009-08-07,84,5
2009-08-08,85,5
2009-08-09,86,5
2009-08-10,86,4
2009-08-11,87,5
2009-08-12,79,3
2009-08-13,81,6
2009-08-14,81,5
2009-08-15,79,5
2009-08-16,77,4
2009-08-17,79,5
2009-08-18,79,4
2009-08-19,82,4
2009-08-20,80,4
2009-08-21,79,5
2009-08-22,77,4
2009-08-23,73,5
2009-08-24,78,6
2009-08-25,80,5
2009-08-26,81,5
2009-08-27,76,3
2009-08-28,70,1
2009-08-29,75,6
2009-08-30,71,3
2009-08-31,73,3
2009-09-01,68,0
2009-09-02,72,4
2009-09-03,72,5
2009-09-04,77,4
2009-09-05,76,4
2009-09-06,79,4
2009-09-07,76,5
2009-09-08,79,6
2009-09-09,78,3
2009-09-10,72,4
2009-09-11,70,2
2009-09-12,76,4
2009-09-13,75,3
2009-09-14,77,3
2009-09-15,74,1
2009-09-16,75,3
2009-09-17,70,1
2009-09-18,73,3
2009-09-19,72,1
2009-09-20,75,3
2009-09-21,73,2
2009-09-22,75,5
2009-09-23,74,4
2009-09-24,78,4
2009-09-25,81,4
2009-09-26,74,4
2009-09-27,73,4
2009-09-28,77,4
2009-09-29,64,6
2009-09-30,64,8
2009-10-01,68,6
2009-10-02,67,4
2009-10-03,67,6
2009-10-04,66,4
2009-10-05,58,2
2009-10-06,64,3
2009-10-07,73,2
2009-10-08,72,7
2009-10-09,77,5
2009-10-10,69,2
2009-10-11,66,7
2009-10-12,61,1
2009-10-13,65,5
2009-10-14,63,1
2009-10-15,55,3
2009-10-16,53,1
2009-10-17,48,1
2009-10-18,47,6
2009-10-19,51,7
2009-10-20,58,9
2009-10-21,62,7
2009-10-22,64,7
2009-10-23,69,2
2009-10-24,54,0
2009-10-25,54,8
2009-10-26,58,5
2009-10-27,54,0
2009-10-28,63,5
2009-10-29,68,5
2009-10-30,60,1
2009-10-31,57,3
2009-11-01,55,6
2009-11-02,56,5
2009-11-03,62,9
2009-11-04,61,8
2009-11-05,60,5
2009-11-06,58,6
2009-11-07,61,7
2009-11-08,66,7
2009-11-09,61,2
2009-11-10,58,0
2009-11-11,59,2
2009-11-12,57,6
2009-11-13,63,9
2009-11-14,64,8
2009-11-15,64,8
2009-11-16,61,7
2009-11-17,57,1
2009-11-18,53,3
2009-11-19,53,6
2009-11-20,57,7
2009-11-21,56,5
2009-11-22,46,0
2009-11-23,48,1
2009-11-24,50,2
2009-11-25,55,4
2009-11-26,51,5
2009-11-27,48,6
2009-11-28,55,7
2009-11-29,59,6
2009-11-30,55,2
2009-12-01,47,4
2009-12-02,50,4
2009-12-03,45,1
2009-12-04,45,3
2009-12-05,37,1
2009-12-06,39,5
2009-12-07,44,4
2009-12-08,45,0
2009-12-09,64,2
2009-12-10,40,3
2009-12-11,35,4
2009-12-12,36,1
2009-12-13,41,3
2009-12-14,53,2
2009-12-15,59,3
2009-12-16,45,4
2009-12-17,44,5
2009-12-18,36,0
2009-12-19,43,1
2009-12-20,38,2
2009-12-21,44,7
2009-12-22,51,7
2009-12-23,49,5
2009-12-24,45,3
2009-12-25,50,2
2009-12-26,40,5
2009-12-27,46,7
2009-12-28,37,2
2009-12-29,39,5
2009-12-30,43,2
