DATE,AVG,DEV
2017-01-01,51,12
2017-01-02,54,6
2017-01-03,29,2
2017-01-04,28,6
2017-01-05,17,0
2017-01-06,17,4
2017-01-07,22,14
2017-01-08,38,6
2017-01-09,45,18
2017-01-10,59,5
2017-01-11,69,5
2017-01-12,29,14
2017-01-13,28,2
2017-01-14,31,0
2017-01-15,8,14
2017-01-16,0,0
2017-01-17,6,17
2017-01-18,50,7
2017-01-19,47,5
2017-01-20,52,13
2017-01-21,49,9
2017-01-22,50,6
2017-01-23,62,9
2017-01-24,59,13
2017-01-25,37,5
2017-01-26,35,7
2017-01-27,39,7
2017-01-28,45,7
2017-01-29,59,8
2017-01-30,52,23
2017-01-31,56,14
2017-02-01,43,6
2017-02-02,30,5
2017-02-03,32,7
2017-02-04,56,12
2017-02-05,50,14
2017-02-06,47,26
2017-02-07,63,12
2017-02-08,40,7
2017-02-09,49,11
2017-02-10,77,20
2017-02-11,77,18
2017-02-12,49,3
2017-02-13,36,2
2017-02-14,39,4
2017-02-15,48,9
2017-02-16,58,16
2017-02-17,63,11
2017-02-18,58,17
2017-02-19,62,7
2017-02-20,63,8
2017-02-21,63,16
2017-02-22,67,18
2017-02-23,65,23
2017-02-24,40,5
2017-02-25,39,11
2017-02-26,49,10
2017-02-27,63,14
2017-02-28,69,7
2017-03-01,48,9
2017-03-02,52,14
2017-03-03,57,15
2017-03-04,61,8
2017-03-05,70,10
2017-03-06,74,8
2017-03-07,49,19
2017-03-08,66,10
2017-03-09,68,19
2017-03-10,40,3
2017-03-11,42,2
2017-03-12,48,11
2017-03-13,46,5
2017-03-14,55,11
2017-03-15,51,12
2017-03-16,74,15
2017-03-17,69,8
2017-03-18,68,13
2017-03-19,83,13
2017-03-20,81,11
2017-03-21,64,7
2017-03-22,61,8
2017-03-23,75,9
2017-03-24,56,2
2017-03-25,61,8
2017-03-26,56,20
2017-03-27,61,10
2017-03-28,50,1
2017-03-29,47,1
2017-03-30,60,8
2017-03-31,52,5
2017-04-01,45,0
2017-04-02,50,4
2017-04-03,64,10
2017-04-04,44,2
2017-04-05,55,6
2017-04-06,61,12
2017-04-07,68,12
2017-04-08,79,19
2017-04-09,78,12
2017-04-10,63,5
2017-04-11,64,11
2017-04-12,67,6
2017-04-13,66,5
2017-04-14,73,6
2017-04-15,78,7
2017-04-16,73,6
2017-04-17,68,7
2017-04-18,74,9
2017-04-19,79,9
2017-04-20,69,4
2017-04-21,52,1
2017-04-22,54,5
2017-04-23,61,12
2017-04-24,74,10
2017-04-25,62,11
2017-04-26,53,7
2017-04-27,65,8
2017-04-28,64,7
2017-04-29,41,0
2017-04-30,40,1
2017-05-01,62,12
2017-05-02,69,11
2017-05-03,55,4
2017-05-04,62,7
2017-05-05,67,12
2017-05-06,75,12
2017-05-07,78,9
2017-05-08,74,8
2017-05-09,73,5
2017-05-10,66,4
2017-05-11,61,4
2017-05-12,65,7
2017-05-13,71,11
2017-05-14,80,9
2017-05-15,84,5
2017-05-16,75,5
2017-05-17,75,8
2017-05-18,75,14
2017-05-19,61,2
2017-05-20,61,8
2017-05-21,68,11
2017-05-22,59,2
2017-05-23,61,5
2017-05-24,68,13
2017-05-25,79,13
2017-05-26,77,8
2017-05-27,77,7
2017-05-28,72,7
2017-05-29,74,11
2017-05-30,75,10
2017-05-31,81,8
2017-06-01,76,8
2017-06-02,70,4
2017-06-03,72,4
2017-06-04,75,5
2017-06-05,78,8
2017-06-06,79,11
2017-06-07,74,17
2017-06-08,77,7
2017-06-09,82,8
2017-06-10,88,9
2017-06-11,87,7
2017-06-12,88,8
2017-06-13,85,7
2017-06-14,84,10
2017-06-15,88,9
2017-06-16,89,9
2017-06-17,92,10
2017-06-18,78,5
2017-06-19,81,10
2017-06-20,87,8
2017-06-21,89,8
2017-06-22,87,9
2017-06-23,79,4
2017-06-24,76,5
2017-06-25,71,4
2017-06-26,80,9
2017-06-27,87,8
2017-06-28,89,8
2017-06-29,92,10
2017-06-30,82,4
2017-07-01,81,8
2017-07-02,85,6
2017-07-03,79,16
2017-07-04,81,9
2017-07-05,82,7
2017-07-06,86,8
2017-07-07,88,10
2017-07-08,83,8
2017-07-09,87,8
2017-07-10,90,9
2017-07-11,90,9
2017-07-12,90,8
2017-07-13,89,8
2017-07-14,87,10
2017-07-15,82,15
2017-07-16,85,6
2017-07-17,89,6
2017-07-18,91,7
2017-07-19,92,7
2017-07-20,93,7
2017-07-21,94,8
2017-07-22,93,9
2017-07-23,87,6
2017-07-24,87,9
2017-07-25,91,9
2017-07-26,94,8
2017-07-27,83,5
2017-07-28,84,5
2017-07-29,81,5
2017-07-30,79,7
2017-07-31,76,4
2017-08-01,77,5
2017-08-02,79,9
2017-08-03,83,9
2017-08-04,80,8
2017-08-05,89,8
2017-08-06,74,4
2017-08-07,73,3
2017-08-08,74,8
2017-08-09,84,6
2017-08-10,85,8
2017-08-11,80,6
2017-08-12,73,2
2017-08-13,76,4
2017-08-14,81,8
2017-08-15,83,6
2017-08-16,83,5
2017-08-17,83,8
2017-08-18,81,9
2017-08-19,88,7
2017-08-20,84,7
2017-08-21,81,7
2017-08-22,76,3
2017-08-23,75,4
2017-08-24,77,7
2017-08-25,77,4
2017-08-26,79,5
2017-08-27,81,8
2017-08-28,79,5
2017-08-29,76,11
2017-08-30,75,10
2017-08-31,74,10
2017-09-01,79,10
2017-09-02,80,8
2017-09-03,83,11
2017-09-04,86,13
2017-09-05,72,4
2017-09-06,72,11
2017-09-07,79,9
2017-09-08,81,7
2017-09-09,78,7
2017-09-10,78,6
2017-09-11,80,11
2017-09-12,80,11
2017-09-13,82,12
2017-09-14,87,11
2017-09-15,85,6
2017-09-16,85,8
2017-09-17,69,6
2017-09-18,76,6
2017-09-19,88,10
2017-09-20,75,8
2017-09-21,86,11
2017-09-22,85,6
2017-09-23,79,4
2017-09-24,72,2
2017-09-25,67,1
2017-09-26,59,1
2017-09-27,59,2
2017-09-28,63,4
2017-09-29,61,3
2017-09-30,66,3
2017-10-01,73,4
2017-10-02,76,6
