STATION_NAME,DATE,TIME,HOURLYDRYBULBTEMPF,HOURLYWindSpeed,DAILYSunrise,DAILYSunset
CANADIAN TX US,2017-01-01,0:15,30,0,752,1739
CANADIAN TX US,2017-01-01,0:35,28,3,752,1739
CANADIAN TX US,2017-01-01,0:55,28,3,752,1739
CANADIAN TX US,2017-01-01,1:15,29,0,752,1739
CANADIAN TX US,2017-01-01,1:35,27,0,752,1739
CANADIAN TX US,2017-01-01,1:55,24,3,752,1739
CANADIAN TX US,2017-01-01,2:15,26,3,752,1739
CANADIAN TX US,2017-01-01,2:35,25,3,752,1739
CANADIAN TX US,2017-01-01,2:55,25,0,752,1739
CANADIAN TX US,2017-01-01,3:15,26,0,752,1739
CANADIAN TX US,2017-01-01,3:35,27,0,752,1739
CANADIAN TX US,2017-01-01,3:55,26,3,752,1739
CANADIAN TX US,2017-01-01,4:15,24,3,752,1739
CANADIAN TX US,2017-01-01,4:35,26,0,752,1739
CANADIAN TX US,2017-01-01,4:55,26,0,752,1739
CANADIAN TX US,2017-01-01,5:15,21,0,752,1739
CANADIAN TX US,2017-01-01,5:35,23,0,752,1739
CANADIAN TX US,2017-01-01,5:55,22,3,752,1739
CANADIAN TX US,2017-01-01,6:15,21,0,752,1739
CANADIAN TX US,2017-01-01,6:35,23,5,752,1739
CANADIAN TX US,2017-01-01,6:55,23,0,752,1739
CANADIAN TX US,2017-01-01,7:15,23,0,752,1739
CANADIAN TX US,2017-01-01,7:35,23,0,752,1739
CANADIAN TX US,2017-01-01,7:55,23,0,752,1739
CANADIAN TX US,2017-01-01,8:15,24,3,752,1739
CANADIAN TX US,2017-01-01,8:35,28,3,752,1739
CANADIAN TX US,2017-01-01,8:55,31,6,752,1739
CANADIAN TX US,2017-01-01,9:15,34,6,752,1739
CANADIAN TX US,2017-01-01,9:35,38,7,752,1739
CANADIAN TX US,2017-01-01,9:55,41,7,752,1739
CANADIAN TX US,2017-01-01,10:15,43,8,752,1739
CANADIAN TX US,2017-01-01,10:35,46,17,752,1739
CANADIAN TX US,2017-01-01,10:55,48,16,752,1739
CANADIAN TX US,2017-01-01,11:15,51,16,752,1739
CANADIAN TX US,2017-01-01,11:35,52,15,752,1739
CANADIAN TX US,2017-01-01,11:55,53,13,752,1739
CANADIAN TX US,2017-01-01,12:15,56,18,752,1739
CANADIAN TX US,2017-01-01,12:35,57,16,752,1739
CANADIAN TX US,2017-01-01,12:55,57,18,752,1739
CANADIAN TX US,2017-01-01,13:15,59,16,752,1739
CANADIAN TX US,2017-01-01,13:35,61,18,752,1739
CANADIAN TX US,2017-01-01,13:55,62,16,752,1739
CANADIAN TX US,2017-01-01,14:15,63,17,752,1739
CANADIAN TX US,2017-01-01,14:35,65,20,752,1739
CANADIAN TX US,2017-01-01,14:55,65,17,752,1739
CANADIAN TX US,2017-01-01,15:15,64,20,752,1739
CANADIAN TX US,2017-01-01,15:35,64,20,752,1739
CANADIAN TX US,2017-01-01,15:55,63,20,752,1739
CANADIAN TX US,2017-01-01,16:15,63,18,752,1739
CANADIAN TX US,2017-01-01,16:35,61,18,752,1739
CANADIAN TX US,2017-01-01,16:55,60,18,752,1739
CANADIAN TX US,2017-01-01,17:15,58,15,752,1739
CANADIAN TX US,2017-01-01,17:35,56,15,752,1739
CANADIAN TX US,2017-01-01,17:55,55,17,752,1739
CANADIAN TX US,2017-01-01,18:15,53,16,752,1739
CANADIAN TX US,2017-01-01,18:35,53,17,752,1739
CANADIAN TX US,2017-01-01,18:55,52,16,752,1739
CANADIAN TX US,2017-01-01,19:15,51,15,752,1739
CANADIAN TX US,2017-01-01,19:35,50,15,752,1739
CANADIAN TX US,2017-01-01,19:55,50,20,752,1739
CANADIAN TX US,2017-01-01,20:15,49,14,752,1739
CANADIAN TX US,2017-01-01,20:35,50,18,752,1739
CANADIAN TX US,2017-01-01,20:55,49,16,752,1739
CANADIAN TX US,2017-01-01,21:15,48,15,752,1739
CANADIAN TX US,2017-01-01,21:35,49,13,752,1739
CANADIAN TX US,2017-01-01,21:55,49,13,752,1739
CANADIAN TX US,2017-01-01,22:15,49,16,752,1739
CANADIAN TX US,2017-01-01,22:35,49,18,752,1739
CANADIAN TX US,2017-01-01,22:55,48,11,752,1739
CANADIAN TX US,2017-01-01,23:15,45,8,752,1739
CANADIAN TX US,2017-01-01,23:35,43,6,752,1739
CANADIAN TX US,2017-01-01,23:55,43,8,752,1739
CANADIAN TX US,2017-01-02,0:15,44,8,752,1739
CANADIAN TX US,2017-01-02,0:35,43,6,752,1739
CANADIAN TX US,2017-01-02,0:55,43,5,752,1739
CANADIAN TX US,2017-01-02,1:15,46,8,752,1739
CANADIAN TX US,2017-01-02,1:35,46,9,752,1739
CANADIAN TX US,2017-01-02,1:55,46,3,752,1739
CANADIAN TX US,2017-01-02,2:15,47,5,752,1739
CANADIAN TX US,2017-01-02,2:35,48,5,752,1739
CANADIAN TX US,2017-01-02,2:55,48,0,752,1739
CANADIAN TX US,2017-01-02,3:15,50,9,752,1739
CANADIAN TX US,2017-01-02,3:35,52,9,752,1739
CANADIAN TX US,2017-01-02,3:55,50,9,752,1739
CANADIAN TX US,2017-01-02,4:15,50,6,752,1739
CANADIAN TX US,2017-01-02,4:35,48,0,752,1739
CANADIAN TX US,2017-01-02,4:55,47,0,752,1739
CANADIAN TX US,2017-01-02,5:15,47,5,752,1739
CANADIAN TX US,2017-01-02,5:35,43,5,752,1739
CANADIAN TX US,2017-01-02,5:55,45,3,752,1739
CANADIAN TX US,2017-01-02,6:15,42,9,752,1739
CANADIAN TX US,2017-01-02,6:35,43,10,752,1739
CANADIAN TX US,2017-01-02,6:55,40,3,752,1739
CANADIAN TX US,2017-01-02,7:15,40,8,752,1739
CANADIAN TX US,2017-01-02,7:35,39,6,752,1739
CANADIAN TX US,2017-01-02,7:55,38,8,752,1739
CANADIAN TX US,2017-01-02,8:15,39,7,752,1739
CANADIAN TX US,2017-01-02,8:35,40,7,752,1739
CANADIAN TX US,2017-01-02,8:55,43,6,752,1739
CANADIAN TX US,2017-01-02,9:15,45,7,752,1739
CANADIAN TX US,2017-01-02,9:35,47,9,752,1739
CANADIAN TX US,2017-01-02,9:55,50,11,752,1739
CANADIAN TX US,2017-01-02,10:15,53,11,752,1739
CANADIAN TX US,2017-01-02,10:35,54,14,752,1739
CANADIAN TX US,2017-01-02,10:55,53,11,752,1739
CANADIAN TX US,2017-01-02,11:15,55,15,752,1739
CANADIAN TX US,2017-01-02,11:35,55,9,752,1739
CANADIAN TX US,2017-01-02,11:55,56,13,752,1739
CANADIAN TX US,2017-01-02,12:15,56,10,752,1739
CANADIAN TX US,2017-01-02,12:35,58,13,752,1739
CANADIAN TX US,2017-01-02,12:55,58,7,752,1739
CANADIAN TX US,2017-01-02,13:15,59,9,752,1739
CANADIAN TX US,2017-01-02,13:35,59,7,752,1739
CANADIAN TX US,2017-01-02,13:55,60,9,752,1739
